,Place,Firstname,Lastname,Gender,Solo or Duo,Status,StartDate,Checkpoint_1,Checkpoint_2,Checkpoint_3,Checkpoint_4,Checkpoint_5,Checkpoint_6,Checkpoint_7,Checkpoint_8,Checkpoint_9,Checkpoint_fin
98,999,Donncha,Cuttriss,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 13:46:00,2019-05-02 07:35:00,2019-05-02 10:43:00,2019-05-02 15:23:00,2019-05-03 07:55:00,2019-05-03 20:13:00,empty,empty,empty,empty
99,999,Yves,Smits,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 14:32:00,2019-05-02 09:06:00,2019-05-02 13:16:00,2019-05-02 19:53:00,2019-05-03 16:47:00,empty,empty,empty,empty,empty
100,999,Christian,Timmer,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 14:46:00,2019-05-02 12:48:00,2019-05-02 17:35:00,2019-05-03 10:17:00,2019-05-03 23:02:00,empty,empty,empty,empty,empty
101,999,Kin,fan Lai,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 17:00:00,2019-05-03 10:07:00,2019-05-03 14:57:00,2019-05-04 07:36:00,2019-05-07 14:17:00,empty,empty,empty,empty,empty
102,999,Milan,Broer,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 14:36:00,2019-05-02 13:37:00,2019-05-02 17:17:00,2019-05-02 22:01:00,empty,empty,empty,empty,empty,empty
103,999,Bart,De Keyser,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 14:13:00,2019-05-02 17:10:00,2019-05-02 21:02:00,2019-05-03 14:09:00,empty,empty,empty,empty,empty,empty
104,999,Mieke,Sweekhorst,female,Solo,DNF,2019-05-01 08:00:00,2019-05-01 15:41:00,2019-05-02 17:52:00,2019-05-03 13:43:00,empty,empty,empty,empty,empty,empty,empty
105,999,Niko,Wojtynia,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 13:36:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
106,999,Ralph,Cullen,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 13:55:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
107,999,Sammut,Sammut,male,Solo,DNF,2019-05-01 08:00:00,2019-05-01 16:34:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
108,999,Caroline,Item,female,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
109,999,Gafyn,meredith,male,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
110,999,Joeri,Paeleman,male,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
111,999,Lee,Paton,male,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
112,999,Mart,Voordenhout,male,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
113,999,Matthew,Linden,male,Solo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
114,1,Kevin,Robison,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 13:50:00,2019-05-02 11:19:00,2019-05-02 14:57:00,2019-05-02 21:03:00,2019-05-03 18:02:00,2019-05-04 17:52:00,2019-05-05 05:50:00,2019-05-05 21:56:00,2019-05-06 18:42:00,2019-05-07 15:05:00
115,2,Jamie,Robison,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 13:52:00,2019-05-02 11:19:00,2019-05-02 14:58:00,2019-05-02 21:02:00,2019-05-03 18:02:00,2019-05-04 17:54:00,2019-05-05 05:51:00,2019-05-05 22:02:00,2019-05-06 18:42:00,2019-05-07 15:11:00
116,3,Christopher,Crawford,male,Duo,Finisher,2019-05-01 08:00:00,empty,2019-05-02 15:36:00,2019-05-02 20:33:00,2019-05-03 10:28:00,empty,2019-05-04 12:58:00,2019-05-04 18:20:00,2019-05-05 21:35:00,2019-05-06 17:32:00,2019-05-07 15:27:00
117,4,Pascal,Gebing,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:31:00,2019-05-02 15:42:00,2019-05-02 19:43:00,2019-05-03 10:44:00,empty,2019-05-04 12:57:00,2019-05-04 18:18:00,2019-05-05 21:32:00,2019-05-06 17:27:00,2019-05-07 15:28:00
118,5,René,Rutten,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:35:00,2019-05-02 13:16:00,2019-05-02 16:58:00,2019-05-03 08:01:00,2019-05-03 20:19:00,2019-05-04 19:05:00,2019-05-05 09:53:00,2019-05-06 09:44:00,2019-05-07 07:57:00,2019-05-07 20:49:00
119,6,Gawaine,Clark,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:18:00,2019-05-02 13:20:00,2019-05-02 17:45:00,2019-05-03 09:17:00,2019-05-04 09:43:00,2019-05-05 09:53:00,2019-05-05 14:34:00,2019-05-06 16:46:00,2019-05-07 12:06:00,2019-05-08 02:28:00
120,7,Richard,Hunt,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:15:00,2019-05-02 13:20:00,2019-05-02 17:48:00,2019-05-03 09:16:00,2019-05-04 09:48:00,2019-05-05 09:46:00,2019-05-05 14:36:00,2019-05-06 16:50:00,2019-05-07 11:58:00,2019-05-08 02:33:00
121,8,Marc,Alinski,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:40:00,2019-05-02 14:12:00,2019-05-02 17:54:00,2019-05-03 09:39:00,2019-05-04 10:00:00,2019-05-05 11:07:00,2019-05-05 15:56:00,2019-05-06 18:32:00,2019-05-07 15:54:00,2019-05-08 06:08:00
122,9,Maren,Barkowsky,female,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:24:00,2019-05-02 14:13:00,2019-05-02 17:53:00,2019-05-03 10:14:00,2019-05-04 10:01:00,2019-05-05 11:07:00,2019-05-05 15:56:00,2019-05-06 18:32:00,2019-05-07 15:55:00,2019-05-08 06:16:00
123,10,Goedele,Visser,female,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:39:00,2019-05-02 19:22:00,2019-05-03 09:51:00,2019-05-03 17:02:00,empty,2019-05-04 20:07:00,empty,2019-05-06 15:11:00,2019-05-07 14:53:00,2019-05-08 17:29:00
124,11,Carmen,Acampo,female,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:40:00,2019-05-02 19:24:00,2019-05-03 09:51:00,2019-05-03 17:05:00,empty,2019-05-04 20:08:00,2019-05-05 11:59:00,2019-05-06 15:04:00,2019-05-07 14:56:00,2019-05-08 17:31:00
125,12,Andrew,Slavin,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 15:56:00,2019-05-02 19:49:00,2019-05-03 13:07:00,2019-05-04 08:55:00,empty,2019-05-05 12:51:00,2019-05-05 18:01:00,2019-05-07 07:43:00,2019-05-07 20:30:00,2019-05-08 17:39:00
126,13,Matt,Walker,male,Duo,Finisher,2019-05-01 08:00:00,empty,2019-05-02 19:48:00,2019-05-03 13:06:00,2019-05-04 08:55:00,empty,2019-05-05 12:55:00,2019-05-05 18:03:00,2019-05-07 07:38:00,2019-05-07 20:08:00,2019-05-08 17:42:00
127,14,Luc,Van Ginneken,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:45:00,2019-05-02 15:17:00,2019-05-03 06:04:00,2019-05-03 11:35:00,2019-05-04 14:04:00,2019-05-05 15:34:00,2019-05-06 06:24:00,2019-05-07 09:53:00,2019-05-08 10:23:00,2019-05-09 11:31:00
128,15,Dirk,Martens,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:49:00,2019-05-02 15:13:00,2019-05-03 06:04:00,2019-05-03 11:35:00,2019-05-04 14:06:00,2019-05-05 15:37:00,2019-05-06 06:21:00,2019-05-07 09:52:00,2019-05-08 10:24:00,2019-05-09 11:32:00
129,16,Matteo,Minola-Violino,male,Duo,Finisher,2019-05-01 08:00:00,empty,2019-05-02 21:11:00,2019-05-03 13:40:00,2019-05-04 08:28:00,2019-05-05 12:30:00,2019-05-06 14:47:00,2019-05-06 19:46:00,2019-05-07 23:42:00,2019-05-08 19:53:00,2019-05-09 16:17:00
130,17,Adam,Kramer,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:45:00,2019-05-02 13:03:00,2019-05-02 17:13:00,2019-05-02 23:35:00,2019-05-04 01:40:00,2019-05-05 04:01:00,2019-05-05 13:20:00,2019-05-06 17:40:00,2019-05-07 12:57:00,empty
131,18,Nathan,Streunding,male,Duo,Finisher,2019-05-01 08:00:00,2019-05-01 14:44:00,2019-05-02 13:10:00,2019-05-02 17:13:00,2019-05-02 23:35:00,2019-05-04 01:43:00,2019-05-05 04:00:00,2019-05-05 13:19:00,2019-05-06 17:49:00,2019-05-07 13:04:00,empty
132,999,Neil,Crawford,male,Duo,DNF,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
133,999,Jean-Silviu,Dupouy,male,Duo,DNF,2019-05-01 08:00:00,2019-05-01 15:32:00,2019-05-02 15:43:00,2019-05-02 19:41:00,2019-05-03 10:50:00,2019-05-04 01:35:00,2019-05-05 08:19:00,2019-05-05 13:38:00,empty,empty,empty
134,999,Darush Pourreza,Dehkordi,male,Duo,DNF,2019-05-01 08:00:00,2019-05-01 17:57:00,2019-05-03 09:10:00,2019-05-03 15:19:00,2019-05-04 11:06:00,2019-05-05 12:37:00,empty,empty,empty,empty,empty
135,999,Saul,Kelf,male,Duo,DNF,2019-05-01 08:00:00,empty,2019-05-03 09:09:00,2019-05-03 15:24:00,2019-05-04 11:06:00,2019-05-05 12:44:00,empty,empty,empty,empty,empty
136,999,Terry,de Jong,male,Duo,DNF,2019-05-01 08:00:00,2019-05-01 14:18:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
137,999,Josef,Sällqvist,male,Duo,DNF,2019-05-01 08:00:00,2019-05-01 14:16:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
138,999,Kate,Berry,female,Duo,DNF,2019-05-01 08:00:00,2019-05-01 15:20:00,2019-05-02 19:14:00,2019-05-03 10:12:00,2019-05-03 17:15:00,2019-04-28 08:33:00,empty,2019-04-29 15:52:00,empty,empty,empty
139,999,Rich,Skidmore,male,Duo,DNF,2019-05-01 08:00:00,2019-05-01 15:36:00,2019-05-02 19:21:00,2019-05-03 10:10:00,2019-05-03 17:15:00,2019-04-28 08:33:00,2019-04-29 09:49:00,2019-04-29 15:52:00,empty,empty,empty
140,999,Aleem,Pirani,male,Duo,DNS,2019-05-01 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
141,1,Johnny,Uitterhoeve,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:52:00,2020-08-30 10:38:00,2020-08-30 13:57:00,2020-08-31 07:57:00,2020-08-31 15:23:00,2020-09-01 12:50:00,2020-09-01 17:21:00,empty,2020-09-03 09:14:00,2020-09-03 21:02:00
142,2,Marian,Bobko,female,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 18:30:00,2020-08-30 23:45:00,2020-08-31 12:04:00,2020-09-01 02:01:00,2020-09-01 19:47:00,2020-09-02 21:03:00,2020-09-03 04:52:00,2020-09-04 15:25:00,2020-09-05 11:32:00,2020-09-06 13:36:00
143,3,Wouter,van Engelen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:10:00,2020-08-30 07:57:00,2020-08-30 10:56:00,2020-08-30 18:55:00,2020-08-31 08:22:00,2020-08-31 21:10:00,2020-09-01 08:17:00,2020-09-01 21:56:00,2020-09-02 14:53:00,2020-09-03 03:01:00
144,4,Jamie,Robison,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:33:00,2020-08-30 12:20:00,2020-08-30 17:18:00,2020-08-31 13:04:00,2020-08-31 22:40:00,2020-09-01 17:27:00,2020-09-02 10:44:00,2020-09-03 08:10:00,2020-09-03 19:29:00,2020-09-04 11:56:00
145,5,Ties,Alfrink,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:59:00,2020-08-30 12:28:00,2020-08-30 15:57:00,2020-08-31 07:04:00,2020-08-31 16:43:00,2020-09-01 14:49:00,2020-09-01 18:28:00,2020-09-02 16:24:00,2020-09-03 12:21:00,2020-09-04 11:35:00
146,6,Stefan,Kanne,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:57:00,2020-08-30 09:53:00,2020-08-30 12:52:00,2020-08-30 21:40:00,2020-08-31 13:47:00,2020-09-01 09:34:00,2020-09-01 13:13:00,2020-09-02 11:09:00,2020-09-02 19:18:00,2020-09-03 14:24:00
147,7,Ralph,Cullen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:03:00,2020-08-30 05:31:00,empty,2020-08-30 17:08:00,2020-08-31 07:05:00,2020-08-31 19:43:00,2020-09-01 03:02:00,2020-09-02 03:07:00,2020-09-02 12:35:00,2020-09-03 03:04:00
148,8,Meint,Verhoeff,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:39:00,2020-08-30 09:16:00,2020-08-30 13:15:00,2020-08-30 22:54:00,2020-08-31 16:10:00,2020-09-01 15:16:00,2020-09-01 20:26:00,2020-09-02 22:01:00,2020-09-03 18:38:00,2020-09-04 20:53:00
149,9,Paul,Ziermann,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:13:00,2020-08-30 06:52:00,2020-08-30 10:40:00,2020-08-30 18:28:00,2020-08-31 08:56:00,2020-08-31 20:54:00,2020-09-01 01:43:00,2020-09-02 08:00:00,2020-09-02 16:46:00,2020-09-03 04:24:00
150,10,Berry,van den Brink,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:06:00,2020-08-30 15:32:00,2020-08-30 19:41:00,2020-08-31 15:27:00,2020-09-01 06:24:00,2020-09-02 09:00:00,2020-09-02 14:03:00,2020-09-03 16:48:00,2020-09-04 11:25:00,2020-09-05 00:23:00
151,11,Bart,Verheijen,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 00:41:00,2020-08-30 05:51:00,2020-08-30 13:09:00,2020-08-30 19:53:00,2020-08-31 12:55:00,2020-08-31 17:04:00,2020-09-01 11:11:00,2020-09-01 20:19:00,2020-09-02 11:23:00
152,12,Lukas,Eger,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:06:00,2020-08-30 06:52:00,2020-08-30 11:01:00,2020-08-30 20:20:00,2020-08-31 10:27:00,2020-09-01 06:44:00,2020-09-01 11:43:00,empty,2020-09-02 14:58:00,2020-09-03 07:35:00
153,13,Kristian,Madsen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:15:00,2020-08-30 08:22:00,2020-08-30 11:31:00,2020-08-30 20:10:00,2020-08-31 12:27:00,2020-09-01 01:25:00,2020-09-01 11:23:00,2020-09-02 01:10:00,2020-09-02 15:28:00,2020-09-03 03:06:00
154,14,Johan,Barelds,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:24:00,2020-08-30 15:37:00,2020-08-31 06:25:00,2020-08-31 15:03:00,2020-09-01 10:39:00,2020-09-02 10:59:00,2020-09-02 15:28:00,2020-09-03 17:13:00,2020-09-04 15:49:00,2020-09-05 17:16:00
155,15,Kurt,Billiouw,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:20:00,2020-08-30 13:26:00,2020-08-30 19:45:00,2020-08-31 14:22:00,2020-09-01 07:29:00,2020-09-02 07:35:00,2020-09-02 12:04:00,2020-09-03 12:00:00,2020-09-04 09:36:00,2020-09-05 00:23:00
156,16,Richard,de Boer,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:43:00,2020-08-30 09:40:00,2020-08-30 12:48:00,2020-08-30 22:06:00,empty,2020-09-01 11:00:00,2020-09-01 15:29:00,2020-09-02 14:15:00,2020-09-03 00:23:00,2020-09-03 18:50:00
157,17,Ernst,Huijboom,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 13:21:00,2020-08-30 17:51:00,2020-08-31 12:37:00,2020-08-31 21:46:00,2020-09-01 22:11:00,2020-09-02 11:19:00,2020-09-03 13:25:00,empty,2020-09-05 11:18:00
158,18,Eelke,Bakker,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:32:00,2020-08-30 08:00:00,2020-08-30 11:10:00,2020-08-30 19:57:00,2020-08-31 10:54:00,2020-09-01 06:51:00,2020-09-01 10:30:00,2020-09-02 07:47:00,2020-09-02 15:55:00,2020-09-03 03:33:00
159,19,Florine,Koning,female,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:09:00,2020-08-30 17:07:00,2020-08-30 21:06:00,2020-08-31 17:22:00,2020-09-01 14:29:00,2020-09-02 15:14:00,2020-09-03 08:01:00,2020-09-04 13:06:00,2020-09-05 11:07:00,2020-09-06 13:28:00
160,20,Thorsten,Heilen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:36:00,2020-08-30 06:22:00,2020-08-30 10:12:00,2020-08-30 19:30:00,2020-08-31 08:28:00,2020-08-31 21:16:00,2020-09-01 02:15:00,2020-09-01 21:41:00,2020-09-02 11:59:00,2020-09-02 23:49:00
161,21,Emiel,Maelfait,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:07:00,2020-08-30 01:40:00,2020-08-30 11:04:00,2020-08-30 19:32:00,2020-08-31 13:47:00,2020-09-01 11:04:00,2020-09-01 14:44:00,2020-09-02 13:50:00,2020-09-03 08:17:00,2020-09-03 17:35:00
162,22,Bas,Vlaskamp,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 12:58:00,2020-08-29 21:57:00,2020-08-30 00:26:00,2020-08-30 08:34:00,2020-08-30 16:13:00,2020-08-31 11:20:00,2020-08-31 14:29:00,2020-09-01 03:17:00,2020-09-01 14:06:00,2020-09-02 10:58:00
163,23,Carlo,van Duren,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:36:00,2020-08-30 12:32:00,2020-08-30 16:32:00,2020-08-31 09:59:00,2020-08-31 19:07:00,2020-09-01 17:13:00,2020-09-01 22:02:00,2020-09-03 09:36:00,2020-09-03 23:14:00,2020-09-04 17:21:00
164,24,Alexander,Schmitz,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:13:00,empty,2020-08-30 06:59:00,2020-08-30 14:48:00,2020-08-30 22:46:00,2020-08-31 14:24:00,empty,2020-09-01 12:50:00,2020-09-02 03:47:00,2020-09-02 16:25:00
165,25,Martijn,Driedonks,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:19:00,2020-08-30 07:16:00,2020-08-30 10:55:00,2020-08-30 18:54:00,2020-08-31 09:31:00,2020-08-31 20:10:00,2020-09-01 05:38:00,2020-09-01 17:37:00,2020-09-02 07:33:00,2020-09-02 18:16:00
166,26,Arjan,Zwanenburg,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:12:00,2020-08-30 13:18:00,2020-08-30 17:27:00,2020-08-31 13:04:00,2020-08-31 23:22:00,2020-09-01 19:39:00,2020-09-02 08:36:00,2020-09-03 08:42:00,2020-09-03 20:30:00,2020-09-04 13:28:00
167,27,Paul,Herron,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:36:00,2020-08-30 01:53:00,2020-08-30 05:13:00,2020-08-30 13:01:00,2020-08-30 21:00:00,2020-08-31 16:16:00,2020-08-31 20:56:00,empty,2020-09-02 22:07:00,2020-09-03 12:25:00
168,28,Marianne,Thissen-Smits,female,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 09:23:00,2020-08-30 13:11:00,2020-08-30 23:39:00,2020-08-31 13:57:00,2020-09-01 11:23:00,2020-09-01 16:12:00,2020-09-02 15:09:00,2020-09-03 07:15:00,2020-09-03 19:43:00
169,29,Lukas,Tischer,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:21:00,2020-08-30 09:18:00,2020-08-30 12:37:00,2020-08-30 22:16:00,2020-08-31 13:23:00,2020-09-01 01:51:00,2020-09-01 09:29:00,2020-09-02 12:57:00,2020-09-02 23:41:00,2020-09-03 16:54:00
170,30,Hans,Kroodsma,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 09:59:00,empty,2020-08-30 21:39:00,2020-08-31 13:45:00,2020-09-01 11:13:00,2020-09-01 15:41:00,2020-09-02 14:37:00,2020-09-03 07:45:00,2020-09-03 19:54:00
171,31,Ivan,Soenario,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 08:09:00,2020-08-30 11:09:00,2020-08-30 20:27:00,2020-08-31 10:55:00,2020-09-01 05:22:00,2020-09-01 09:51:00,empty,2020-09-02 16:46:00,2020-09-03 11:22:00
172,32,Jair,Hoogland,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 12:51:00,2020-08-29 23:29:00,2020-08-30 02:28:00,2020-08-30 14:07:00,2020-08-30 20:46:00,2020-08-31 13:32:00,2020-08-31 17:12:00,2020-09-01 10:29:00,2020-09-01 18:27:00,2020-09-02 04:57:00
173,33,Yaish,Koelewijn,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 13:33:00,2020-08-30 17:38:00,2020-08-31 14:58:00,2020-09-01 10:00:00,2020-09-02 01:12:00,2020-09-02 14:29:00,2020-09-03 23:44:00,2020-09-04 20:30:00,2020-09-05 20:30:00
174,34,Haico,Bianchi,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 10:33:00,2020-08-30 14:03:00,2020-08-31 08:10:00,2020-08-31 15:54:00,empty,2020-09-01 16:02:00,2020-09-02 17:17:00,2020-09-03 15:03:00,2020-09-04 13:19:00
175,35,Jasmijn,Muller,female,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 00:46:00,2020-08-30 04:45:00,2020-08-30 13:43:00,2020-08-30 22:32:00,2020-08-31 16:49:00,2020-08-31 22:08:00,2020-09-01 17:25:00,2020-09-02 09:52:00,2020-09-02 23:01:00
176,36,Vincent,de Groot,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:49:00,2020-08-30 16:25:00,2020-08-31 08:14:00,2020-08-31 17:30:00,2020-09-01 12:37:00,2020-09-02 12:13:00,2020-09-02 17:12:00,2020-09-03 18:49:00,2020-09-04 15:14:00,2020-09-05 02:42:00
177,37,Rieks,van Lubek,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 13:42:00,2020-08-30 17:42:00,2020-08-31 12:58:00,2020-09-01 10:04:00,2020-09-02 11:39:00,2020-09-02 15:59:00,2020-09-03 21:04:00,2020-09-04 16:50:00,2020-09-05 16:57:00
178,38,Denny,Baert,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 11:59:00,2020-08-30 15:39:00,2020-08-31 11:15:00,2020-08-31 20:24:00,2020-09-01 20:08:00,2020-09-02 11:57:00,2020-09-03 15:33:00,2020-09-04 13:48:00,2020-09-05 03:36:00
179,39,Stefan,Slegl,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 08:20:00,2020-08-30 11:29:00,2020-08-30 20:37:00,2020-08-31 16:23:00,2020-09-01 05:21:00,2020-09-01 12:05:00,2020-09-02 12:18:00,2020-09-03 09:42:00,2020-09-03 20:40:00
180,40,Paul,Hesen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:25:00,2020-08-30 06:32:00,2020-08-30 09:42:00,2020-08-30 18:20:00,2020-08-31 11:27:00,2020-08-31 23:45:00,2020-09-01 08:58:00,2020-09-02 11:45:00,2020-09-02 20:54:00,2020-09-03 15:07:00
181,41,Oliver,Wong,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 12:39:00,2020-08-30 15:58:00,2020-08-31 08:36:00,2020-08-31 17:54:00,2020-09-01 17:20:00,2020-09-01 21:59:00,2020-09-03 09:33:00,2020-09-03 23:21:00,2020-09-04 17:27:00
182,42,Billy,Bob,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:41:00,2020-08-30 01:39:00,2020-08-30 08:37:00,2020-08-30 16:07:00,2020-08-30 22:15:00,2020-08-31 15:13:00,2020-08-31 18:52:00,2020-09-01 14:58:00,empty,2020-09-02 17:20:00
183,43,Laurens,Boex,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 08:56:00,2020-08-30 12:07:00,2020-08-30 20:44:00,2020-08-31 10:22:00,2020-08-31 22:20:00,2020-09-01 01:59:00,empty,2020-09-02 11:24:00,2020-09-02 23:09:00
184,44,Laurens,Wolting,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:33:00,2020-08-30 05:26:00,2020-08-30 14:47:00,2020-08-31 08:04:00,2020-08-31 15:53:00,2020-09-01 11:29:00,2020-09-01 16:13:00,2020-09-02 15:58:00,2020-09-03 07:35:00,2020-09-03 21:24:00
185,45,Markus,Weber,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:30:00,2020-08-30 08:27:00,2020-08-30 11:46:00,2020-08-30 20:25:00,2020-08-31 15:12:00,2020-09-01 13:18:00,2020-09-01 17:17:00,2020-09-02 16:33:00,2020-09-03 11:30:00,2020-09-03 22:27:00
186,46,Jeroen,van der Wiel,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:55:00,2020-08-30 12:49:00,2020-08-30 16:18:00,2020-08-31 11:34:00,2020-09-01 07:29:00,2020-09-01 19:47:00,2020-09-02 09:14:00,2020-09-03 08:51:00,2020-09-03 18:58:00,2020-09-04 10:56:00
187,47,Flip,Patijn,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 13:15:00,2020-08-30 00:16:00,2020-08-30 06:25:00,2020-08-30 14:23:00,2020-08-30 21:02:00,2020-08-31 11:40:00,2020-08-31 15:59:00,2020-09-01 13:05:00,2020-09-01 21:34:00,2020-09-02 11:01:00
188,48,Klaus,Svendsen,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:25:00,2020-08-30 12:42:00,2020-08-30 16:11:00,2020-08-31 12:57:00,2020-09-01 08:04:00,2020-09-02 09:30:00,2020-09-02 14:19:00,2020-09-03 17:14:00,2020-09-04 13:30:00,2020-09-05 04:58:00
189,49,Theo,Wolfs,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 15:06:00,2020-08-30 16:31:00,2020-08-30 20:10:00,2020-08-31 16:37:00,2020-09-01 12:43:00,2020-09-02 12:39:00,2020-09-02 16:38:00,2020-09-03 19:04:00,2020-09-04 16:50:00,2020-09-05 17:16:00
190,50,Egbert,Darwinkel,male,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:10:00,2020-08-30 12:47:00,2020-08-30 17:26:00,2020-08-31 11:33:00,2020-08-31 19:01:00,2020-09-01 17:17:00,2020-09-02 07:15:00,2020-09-03 08:51:00,2020-09-03 18:59:00,2020-09-04 10:56:00
191,51,Ruerd,Kuipers,male,Solo,Finisher,2020-08-29 08:00:00,empty,2020-08-30 17:05:00,2020-08-31 07:39:00,2020-08-31 17:09:00,2020-09-01 13:45:00,2020-09-02 16:11:00,2020-09-03 10:08:00,2020-09-04 15:52:00,2020-09-05 13:09:00,2020-09-06 14:44:00
192,52,Francien,Peterse,female,Solo,Finisher,2020-08-29 08:00:00,2020-08-29 14:01:00,2020-08-30 14:45:00,2020-08-30 18:14:00,2020-08-31 13:30:00,2020-09-01 08:38:00,2020-09-02 07:53:00,2020-09-02 12:14:00,2020-09-03 13:58:00,2020-09-04 09:34:00,2020-09-04 22:52:00
